"dt_notificacao","q20","median","q80","q80_smooth"
2020-02-01,0,0,0,-1.95607863562612
2020-02-22,0,0,0,2.83870118960006
2020-02-26,11,11,11,3.63696442935625
2020-02-27,3,3,4.2,3.83123076023014
2020-02-28,3,3,3,4.02341901597439
2020-03-01,2,2,2,4.40164473506673
2020-03-02,1.4,2,5,4.58772391491124
2020-03-03,7,7,7,4.77180845261892
2020-03-06,0.8,2,3.2,5.31230279540299
2020-03-08,5,5,5,5.66304154779195
2020-03-09,2,2,2,5.83559625589091
2020-03-11,6.6,10,11,6.17518062713883
2020-03-12,1,3.5,5,6.3422520067842
2020-03-13,2,4,5.8,6.50753732677477
2020-03-14,1,2,4.2,6.67105744535876
2020-03-15,3.2,7,9,6.83283322078437
2020-03-16,1.8,3,7,6.9928855112998
2020-03-17,0,2,5,7.15123517515327
2020-03-18,0,2,7,7.30790307059296
2020-03-19,1,2,5,7.46291005586709
2020-03-20,1,3,7,7.61627698922385
2020-03-21,1,4,6.2,7.76864390686363
2020-03-22,4,5,9,7.92048329988813
2020-03-23,3,4.5,13,8.0715647088976
2020-03-24,1,3,7,8.22165767449229
2020-03-25,2,5,8,8.37053173727243
2020-03-26,2,4.5,9,8.51795643783828
2020-03-27,1,2,9,8.66370131679007
2020-03-28,3,5,10,8.80753591472806
2020-03-29,1,3,8,8.94922977225247
2020-03-30,1,3,8,9.08855242996356
2020-03-31,1,3.5,7,9.22527342846157
2020-04-01,2,3,6,9.35916230834675
2020-04-02,0,3,9,9.48998861021933
2020-04-03,1,3,9.59999999999999,9.61752187467956
2020-04-04,1,2,6,9.74153164232769
2020-04-05,1,3,6.6,9.86178745376396
2020-04-06,2,4,10.4,9.9780588495886
2020-04-07,1,4,8.60000000000001,10.0901153704019
2020-04-08,1,3,7.80000000000001,10.197726556804
2020-04-09,1,3,6,10.3006619493953
2020-04-10,1.8,3,9,10.3986910887759
2020-04-11,1,2,5.2,10.4951059039878
2020-04-12,2,6.5,12,10.5929809939199
2020-04-13,2,4,10,10.6917599039426
2020-04-14,1,2,6,10.7908861794262
2020-04-15,1,2,6,10.8898033657414
2020-04-16,1,3,15,10.9879550082584
2020-04-17,1,3,21,11.0847846523477
2020-04-18,2,4,20.2,11.1797358433799
2020-04-19,1,2,3,11.2722521267253
2020-04-20,1,3,12.4,11.3617770477543
2020-04-21,1,4,15,11.4477541518375
2020-04-22,2,3,9,11.5296269843453
2020-04-23,2,4,8,11.606839090648
2020-04-24,2,4,11.6,11.6788340161162
2020-04-25,2,3,8.4,11.7450553061203
2020-04-26,3,3,3,11.8049465060307
2020-04-27,2,5,15.2,11.8579511612179
2020-04-28,0,3,6,11.9035128170523
2020-04-29,3,11,34.4,11.9410750189044
2020-04-30,1,5.5,14,11.9700813121446
2020-05-01,3,6,8,11.9899752421433
2020-05-02,0,1.5,4,11.9980055031009
2020-05-03,2,4,5,11.9924879770462
2020-05-04,1,4,12.4,11.9744669910928
2020-05-05,0,3,15,11.9449868723544
2020-05-06,1,3,7.40000000000001,11.9050919479444
2020-05-07,2,5,24.8,11.8558265449764
2020-05-08,1,3.5,27.6,11.798234990564
2020-05-09,2.2,4,7,11.7333616118208
2020-05-10,1,3,5.4,11.6622507358604
2020-05-11,2,4,34.0000000000001,11.5859466897962
2020-05-12,0,3,8.8,11.5054938007418
2020-05-13,0.200000000000001,2,30,11.4219363958109
2020-05-14,1,3,7.2,11.336318802117
2020-05-15,1,3,14.8,11.2496853467737
2020-05-16,1,1,3,11.1630803568944
2020-05-17,1,2,4,11.0775481595929
2020-05-18,1.4,3,7.60000000000001,10.9941330819826
2020-05-19,1,2,7,10.9138794511771
2020-05-20,1,3,5.80000000000001,10.83783159429
2020-05-21,1,3,7,10.7670338384348
2020-05-22,2,3,10.2,10.7025305107251
2020-05-23,2,3,4,10.6322292720289
2020-05-24,2,17.5,46.8,10.5446085138121
2020-05-25,1,2,4,10.4415686590855
2020-05-26,1,3,9.40000000000001,10.3250101308597
2020-05-27,1,3,4,10.1968333521455
2020-05-28,1,3,4,10.0589387459535
2020-05-29,1,2,7,9.91322673529447
2020-05-30,0.6,3,4.4,9.76159774317907
2020-05-31,1,1.5,3.4,9.60595219261802
2020-06-01,2,4,10.4,9.44819050662203
2020-06-02,1,4,14,9.29021310820177
2020-06-03,1,3,11,9.13392042036797
2020-06-04,1,2,8,8.98121286613132
2020-06-05,1,3,10.2,8.83399086850251
2020-06-06,1,2,5.4,8.69415485049226
2020-06-07,1,3,4.6,8.56360523511126
2020-06-08,2,3,7,8.4442424453702
2020-06-09,1,4,7.40000000000001,8.33796690427981
2020-06-10,1,3,9,8.24667903485076
2020-06-11,1,2.5,6.8,8.17227926009376
2020-06-12,2,4,9.2,8.11666800301951
2020-06-13,1,3,7.6,8.07293528997321
2020-06-14,2,3,6.8,8.03293988775725
2020-06-15,1,3.5,7.80000000000001,7.99673533006815
2020-06-16,1,3,9.40000000000001,7.96437515060241
2020-06-17,1,3,7,7.93591288305657
2020-06-18,1,4,9,7.91140206112712
2020-06-19,1,3,7,7.89089621851059
2020-06-20,2,3,7,7.87444888890347
2020-06-21,1.4,3,6,7.8621136060023
2020-06-22,1,4,10,7.85394390350359
2020-06-23,1,3,8,7.84999331510384
2020-06-24,1,3,8,7.85031537449957
2020-06-25,1,3,7,7.85496361538729
2020-06-26,1,3,6,7.86399157146353
2020-06-27,0,2,5.6,7.87745277642479
2020-06-28,1,4,7,7.89540076396758
2020-06-29,2,4,8,7.91788906778842
2020-06-30,1,4,9,7.94497122158383
2020-07-01,1,4,8.40000000000001,7.97670075905031
2020-07-02,2,4,10,8.01313121388439
2020-07-03,1,4,10,8.05431611978257
2020-07-04,1,5,15,8.10010295695488
2020-07-05,2,4,7.8,8.15030067776824
2020-07-06,2,4,9,8.2049050241545
2020-07-07,1,4,8,8.2639117380455
2020-07-08,2,4,9,8.32731656137309
2020-07-09,2,3,9,8.39511523606912
2020-07-10,1,3,9,8.46730350406542
2020-07-11,1,3,7,8.54387710729386
2020-07-12,2,4,9,8.62483178768627
2020-07-13,2,4,9,8.7101632871745
2020-07-14,2,4,8,8.79986734769041
2020-07-15,1,4,8,8.89393971116582
2020-07-16,2,5,8,8.9923761195326
2020-07-17,1,5,9,9.09517231472259
2020-07-18,2,5,11,9.20232403866763
2020-07-19,1,6,9,9.31382703329957
2020-07-20,2,4,9,9.42967704055026
2020-07-21,2,5,10,9.54986980235154
2020-07-22,2,5,12,9.67440106063526
2020-07-23,1,4,10,9.80326655733327
2020-07-24,2,5,10.8,9.93646203437741
2020-07-25,0,3,7,10.0739418790707
2020-07-26,2,4,9,10.215666370913
2020-07-27,2,5,10,10.3616400901313
2020-07-28,1,5,11,10.5118676169528
2020-07-29,2,5,11,10.6663535316045
2020-07-30,2,6,11,10.8251024143135
2020-07-31,2,7,11,10.9881188453069
2020-08-01,0,8,12,11.1554074048117
2020-08-02,1,3,9.40000000000001,11.326972673055
2020-08-03,2,4,10,11.502819230264
2020-08-04,2,4,10,11.6829516566656
2020-08-05,1,4,10,11.867374532487
2020-08-06,1,5,15,12.0560924379553
2020-08-07,2,7,12,12.2491099532974
2020-08-08,2,9,15,12.4464316587406
2020-08-09,3,8,10,12.6480621345119
2020-08-10,2,4,11,12.8540059608383
2020-08-11,2,4,10,13.0642677179469
2020-08-12,4,8,16,13.2788519860648
2020-08-13,5,10,17,13.4977633454192
